"DS2TCHOL.Code.or.Value","DS2TCHOL.Value.Description","DS2TCHOL.Count","DS2TCHOL.Cumulative","DS2TCHOL.Skip.to.Item"
"0.03 to 300","Range of Values",327,327,NA
".","Missing",9217,9544,NA
