"ORXH73.Code.or.Value","ORXH73.Value.Description","ORXH73.Count","ORXH73.Cumulative","ORXH73.Skip.to.Item"
"1","Positive",5,5,NA
"2","Negative",4405,4410,NA
"3","Not evaluated",386,4796,NA
".","Missing",0,4796,NA
