"BMIHEAD.Code.or.Value","BMIHEAD.Value.Description","BMIHEAD.Count","BMIHEAD.Cumulative","BMIHEAD.Skip.to.Item"
"1","Could not obtain",0,0,NA
".","Missing",9813,9813,NA
