"LB2STBSI.Code.or.Value","LB2STBSI.Value.Description","LB2STBSI.Count","LB2STBSI.Cumulative","LB2STBSI.Skip.to.Item"
"3.42 to 46.17","Range of Values",544,544,NA
".","Missing",2,546,NA
