"OCQ580.Code.or.Value","OCQ580.Value.Description","OCQ580.Count","OCQ580.Cumulative","OCQ580.Skip.to.Item"
"0 to 60","Range of Values",1577,1577,NA
"7777","Refused",0,1577,NA
"9999","Don't know",1,1578,NA
".","Missing",4597,6175,NA
