"URXANBT.Code.or.Value","URXANBT.Value.Description","URXANBT.Count","URXANBT.Cumulative","URXANBT.Skip.to.Item"
"0.36 to 171","Range of Values",615,615,NA
".","Missing",2140,2755,NA
