"URDPMMLC.Code.or.Value","URDPMMLC.Value.Description","URDPMMLC.Count","URDPMMLC.Cumulative","URDPMMLC.Skip.to.Item"
"0","At or above the detection limit",2240,2240,NA
"1","Below lower detection limit",0,2240,NA
".","Missing",109,2349,NA
