"URDBMALC.Code.or.Value","URDBMALC.Value.Description","URDBMALC.Count","URDBMALC.Cumulative","URDBMALC.Skip.to.Item"
"0","At or above the detection limit",2463,2463,NA
"1","Below lower detection limit",26,2489,NA
".","Missing",116,2605,NA
