"OHD14LAM.Code.or.Value","OHD14LAM.Value.Description","OHD14LAM.Count","OHD14LAM.Cumulative","OHD14LAM.Skip.to.Item"
"0 to 8","Range of Values",2254,2254,NA
"99","Calculation cannot be determined",538,2792,NA
".","Missing",4338,7130,NA
