"CFDAST.Code.or.Value","CFDAST.Value.Description","CFDAST.Count","CFDAST.Cumulative","CFDAST.Skip.to.Item"
"3 to 39","Range of Values",1661,1661,NA
".","Missing",124,1785,NA
