"DR1IM161.Code.or.Value","DR1IM161.Value.Description","DR1IM161.Count","DR1IM161.Cumulative","DR1IM161.Skip.to.Item"
"0 to 5.612","Range of Values",150340,150340,NA
".","Missing",651,150991,NA
