"RFXT010.Code.or.Value","RFXT010.Value.Description","RFXT010.Count","RFXT010.Cumulative","RFXT010.Skip.to.Item"
"71 to 80","Range of Values",51075,51075,NA
".","Missing",1,51076,NA
