"PFQ069cQ.Code.or.Value","PFQ069cQ.Value.Description","PFQ069cQ.Count","PFQ069cQ.Cumulative","PFQ069cQ.Skip.to.Item"
"1 to 20","Range of Values",38,38,NA
"77777","Refused",0,38,NA
"99999","Don't know",0,38,NA
".","Missing",9455,9493,NA
