"OSQ140u.Code.or.Value","OSQ140u.Value.Description","OSQ140u.Count","OSQ140u.Cumulative","OSQ140u.Skip.to.Item"
"1","Month",133,133,NA
"2","Year",74,207,NA
"7","Refused",0,207,NA
"9","Don't know",0,207,NA
".","Missing",3608,3815,NA
