"ORXH67.Code.or.Value","ORXH67.Value.Description","ORXH67.Count","ORXH67.Cumulative","ORXH67.Skip.to.Item"
"1","Positive",5,5,NA
"2","Negative",4842,4847,NA
"3","Not evaluated",455,5302,NA
".","Missing",0,5302,NA
