"VIDORFM.Code.or.Value","VIDORFM.Value.Description","VIDORFM.Count","VIDORFM.Cumulative","VIDORFM.Skip.to.Item"
"5 to 9","Range of Values",6363,6363,NA
".","Missing",617,6980,NA
