"LBDPFHPL.Code.or.Value","LBDPFHPL.Value.Description","LBDPFHPL.Count","LBDPFHPL.Cumulative","LBDPFHPL.Skip.to.Item"
"0","At or above the detection limit",160,160,NA
"1","Below lower detection limit",1934,2094,NA
".","Missing",274,2368,NA
