"OPDSNVE.Code.or.Value","OPDSNVE.Value.Description","OPDSNVE.Count","OPDSNVE.Cumulative","OPDSNVE.Skip.to.Item"
"0","None",2413,2413,NA
"1","Questionable",2,2415,NA
"2","< 1/2 Disc Area",3,2418,NA
"3",">= 1/2 Disc Area",0,2418,NA
".","Missing",516,2934,NA
