"MCQ240dk.Code.or.Value","MCQ240dk.Value.Description","MCQ240dk.Count","MCQ240dk.Cumulative","MCQ240dk.Skip.to.Item"
"23 to 43","Range of Values",2,2,NA
"80","80 years or older",0,2,NA
"777","Refused",0,2,NA
"999","Don't know",0,2,NA
".","Missing",9362,9364,NA
