"WBXF102.Code.or.Value","WBXF102.Value.Description","WBXF102.Count","WBXF102.Cumulative","WBXF102.Skip.to.Item"
"6924.2925 to 6924.2925","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
