"WTSBA42.Code.or.Value","WTSBA42.Value.Description","WTSBA42.Count","WTSBA42.Cumulative","WTSBA42.Skip.to.Item"
"0 to 364029.28153","Range of Values",946,946,NA
".","Missing",65,1011,NA
