"PFQ061G.Code.or.Value","PFQ061G.Value.Description","PFQ061G.Count","PFQ061G.Cumulative","PFQ061G.Skip.to.Item"
"1","No difficulty",2375,2375,NA
"2","Some difficulty",191,2566,NA
"3","Much difficulty",57,2623,NA
"4","Unable to do",78,2701,NA
"5","Do not do this activity",169,2870,NA
"7","Refused",0,2870,NA
"9","Don't know",2,2872,NA
".","Missing",6794,9666,NA
