"DR1TM201.Code.or.Value","DR1TM201.Value.Description","DR1TM201.Count","DR1TM201.Cumulative","DR1TM201.Skip.to.Item"
"0 to 5.558","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
