"WTSHM12.Code.or.Value","WTSHM12.Value.Description","WTSHM12.Count","WTSHM12.Cumulative","WTSHM12.Skip.to.Item"
"0.0000000 to 745357.8328600","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
