"MIAINTRP.Code.or.Value","MIAINTRP.Value.Description","MIAINTRP.Count","MIAINTRP.Cumulative","MIAINTRP.Skip.to.Item"
"1","Yes",19,19,NA
"2","No",7117,7136,NA
".","Missing",3212,10348,NA
