"WHD140.Code.or.Value","WHD140.Value.Description","WHD140.Count","WHD140.Cumulative","WHD140.Skip.to.Item"
"85 to 500","Range of Values",5855,5855,NA
"7777","Refused",14,5869,NA
"9999","Don't know",120,5989,NA
".","Missing",645,6634,NA
