"MCQ070.Code.or.Value","MCQ070.Value.Description","MCQ070.Count","MCQ070.Cumulative","MCQ070.Skip.to.Item"
"1","Yes",191,191,NA
"2","No",6695,6886,NA
"7","Refused",0,6886,NA
"9","Don't know",3,6889,NA
".","Missing",3220,10109,NA
