"OPXSPMM.Code.or.Value","OPXSPMM.Value.Description","OPXSPMM.Count","OPXSPMM.Cumulative","OPXSPMM.Skip.to.Item"
"1 to 6","Range of Values",2369,2369,NA
".","Missing",565,2934,NA
