"LBDHBG.Code.or.Value","LBDHBG.Value.Description","LBDHBG.Count","LBDHBG.Cumulative","LBDHBG.Skip.to.Item"
"1","Positive",15,15,NA
"2","Negative",7395,7410,NA
".","Missing",722,8132,NA
