"TYXP126.Code.or.Value","TYXP126.Value.Description","TYXP126.Count","TYXP126.Cumulative","TYXP126.Skip.to.Item"
"-289 to 66","Range of Values",5006,5006,NA
".","Missing",579,5585,NA
