"OHAROCGP.Code.or.Value","OHAROCGP.Value.Description","OHAROCGP.Count","OHAROCGP.Cumulative","OHAROCGP.Skip.to.Item"
"1","Yes",1840,1840,NA
"2","No",19,1859,NA
".","Missing",7097,8956,NA
