"LB2SGTSI.Code.or.Value","LB2SGTSI.Value.Description","LB2SGTSI.Count","LB2SGTSI.Cumulative","LB2SGTSI.Skip.to.Item"
"5 to 383","Range of Values",544,544,NA
".","Missing",2,546,NA
