"LBDBSELC.Code.or.Value","LBDBSELC.Value.Description","LBDBSELC.Count","LBDBSELC.Cumulative","LBDBSELC.Skip.to.Item"
"0","At or above the detection limit",4987,4987,NA
"1","Below lower detection limit",0,4987,NA
".","Missing",828,5815,NA
