"DS2IPROT.Code.or.Value","DS2IPROT.Value.Description","DS2IPROT.Count","DS2IPROT.Cumulative","DS2IPROT.Skip.to.Item"
"0.03 to 40.2","Range of Values",175,175,NA
".","Missing",5524,5699,NA
