"AUDTYL56.Code.or.Value","AUDTYL56.Value.Description","AUDTYL56.Count","AUDTYL56.Cumulative","AUDTYL56.Skip.to.Item"
"0 to 3.97","Range of Values",2756,2756,NA
".","Missing",278,3034,NA
