"AUQ149b.Code.or.Value","AUQ149b.Value.Description","AUQ149b.Count","AUQ149b.Cumulative","AUQ149b.Skip.to.Item"
"2","A personal sound amplifier",8,8,NA
".","Missing",8889,8897,NA
