"DRD370G.Code.or.Value","DRD370G.Value.Description","DRD370G.Count","DRD370G.Cumulative","DRD370G.Skip.to.Item"
"1","Yes",129,129,""
"2","No",4753,4882,"DRD370H"
".","Missing",4662,9544,""
