"DS1TVB2.Code.or.Value","DS1TVB2.Value.Description","DS1TVB2.Count","DS1TVB2.Cumulative","DS1TVB2.Skip.to.Item"
"0.002 to 225","Range of Values",1288,1288,NA
".","Missing",8525,9813,NA
