"LBXOTT.Code.or.Value","LBXOTT.Value.Description","LBXOTT.Count","LBXOTT.Cumulative","LBXOTT.Skip.to.Item"
"0.59 to 13.55","Range of Values",2769,2769,NA
".","Missing",1559,4328,NA
