"CSQ250.Code.or.Value","CSQ250.Value.Description","CSQ250.Count","CSQ250.Cumulative","CSQ250.Skip.to.Item"
"1","Yes",538,538,NA
"2","No",3271,3809,NA
"7","Refused",0,3809,NA
"9","Don't know",6,3815,NA
".","Missing",0,3815,NA
