"VIXKRMM.Code.or.Value","VIXKRMM.Value.Description","VIXKRMM.Count","VIXKRMM.Cumulative","VIXKRMM.Skip.to.Item"
"5.81 to 9.09","Range of Values",6442,6442,NA
"88","Could not obtain",51,6493,NA
".","Missing",497,6990,NA
