"LBXV4C.Code.or.Value","LBXV4C.Value.Description","LBXV4C.Count","LBXV4C.Cumulative","LBXV4C.Skip.to.Item"
"0.0339 to 40","Range of Values",2940,2940,NA
".","Missing",605,3545,NA
