"DBD235b.Code.or.Value","DBD235b.Value.Description","DBD235b.Count","DBD235b.Cumulative","DBD235b.Skip.to.Item"
"0","Never",884,884,NA
"1","Rarely-less than once a week",194,1078,NA
"2","Sometimes-once a week or more, but less than once a day",720,1798,NA
"3","Often-once a day or more",2968,4766,NA
"4","Varied",45,4811,NA
"7","Refused",5,4816,NA
"9","Don't know",63,4879,NA
".","Missing",5086,9965,NA
