"URXUCO.Code.or.Value","URXUCO.Value.Description","URXUCO.Count","URXUCO.Cumulative","URXUCO.Skip.to.Item"
"0.016 to 33.719","Range of Values",2528,2528,NA
".","Missing",77,2605,NA
