"DR2ITHEO.Code.or.Value","DR2ITHEO.Value.Description","DR2ITHEO.Count","DR2ITHEO.Cumulative","DR2ITHEO.Skip.to.Item"
"0 to 1053","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
