"CIQG17E.Code.or.Value","CIQG17E.Value.Description","CIQG17E.Count","CIQG17E.Cumulative","CIQG17E.Skip.to.Item"
"1","Yes",67,67,NA
"2","No",13,80,NA
"7","Refused",0,80,NA
"9","Don't know",0,80,NA
".","Missing",848,928,NA
