"DS1IFIBE.Code.or.Value","DS1IFIBE.Value.Description","DS1IFIBE.Count","DS1IFIBE.Cumulative","DS1IFIBE.Skip.to.Item"
"0.2 to 18","Range of Values",141,141,NA
".","Missing",5553,5694,NA
