"URXIPM1.Code.or.Value","URXIPM1.Value.Description","URXIPM1.Count","URXIPM1.Cumulative","URXIPM1.Skip.to.Item"
"1.01 to 250","Range of Values",2356,2356,NA
".","Missing",106,2462,NA
