"WTSCI24.Code.or.Value","WTSCI24.Value.Description","WTSCI24.Count","WTSCI24.Cumulative","WTSCI24.Skip.to.Item"
"0 to 461800.44955","Range of Values",727,727,NA
".","Missing",51,778,NA
