"CIQP13J.Code.or.Value","CIQP13J.Value.Description","CIQP13J.Count","CIQP13J.Cumulative","CIQP13J.Skip.to.Item"
"1","Yes",21,21,NA
"2","No",87,108,NA
"7","Refused",0,108,NA
"9","Don't know",0,108,NA
".","Missing",742,850,NA
