"AGQ030.Code.or.Value","AGQ030.Value.Description","AGQ030.Count","AGQ030.Cumulative","AGQ030.Skip.to.Item"
"1","Yes",261,261,NA
"2","No",675,936,NA
"7","Refused",0,936,NA
"9","Don't know",3,939,NA
".","Missing",8831,9770,NA
