"VIXKRG2.Code.or.Value","VIXKRG2.Value.Description","VIXKRG2.Count","VIXKRG2.Cumulative","VIXKRG2.Skip.to.Item"
"0 to 179","Range of Values",6429,6429,NA
"888","Could not obtain",98,6527,NA
".","Missing",453,6980,NA
