"URXGNS.Code.or.Value","URXGNS.Value.Description","URXGNS.Count","URXGNS.Cumulative","URXGNS.Skip.to.Item"
"0.57 to 15100","Range of Values",2794,2794,NA
".","Missing",107,2901,NA
