"DXXL2BMC.Code.or.Value","DXXL2BMC.Value.Description","DXXL2BMC.Count","DXXL2BMC.Cumulative","DXXL2BMC.Skip.to.Item"
"5.39 to 32.1","Range of Values",2836,2836,NA
".","Missing",872,3708,NA
