"DRD350D.Code.or.Value","DRD350D.Value.Description","DRD350D.Count","DRD350D.Cumulative","DRD350D.Skip.to.Item"
"1","Yes",329,329,""
"2","No",4152,4481,"DRD350E"
".","Missing",5772,10253,""
