"URDUURLC.Code.or.Value","URDUURLC.Value.Description","URDUURLC.Count","URDUURLC.Cumulative","URDUURLC.Skip.to.Item"
"0","At or above the detection limit",2059,2059,NA
"1","Below lower detection limit",469,2528,NA
".","Missing",77,2605,NA
