"RFXT170.Code.or.Value","RFXT170.Value.Description","RFXT170.Count","RFXT170.Cumulative","RFXT170.Skip.to.Item"
"1486 to 1495","Range of Values",33667,33667,NA
".","Missing",54,33721,NA
