"RFXC024.Code.or.Value","RFXC024.Value.Description","RFXC024.Count","RFXC024.Cumulative","RFXC024.Skip.to.Item"
"-7.001 to 3.659","Range of Values",51071,51071,NA
".","Missing",5,51076,NA
