"LBCBR9LA.Code.or.Value","LBCBR9LA.Value.Description","LBCBR9LA.Count","LBCBR9LA.Cumulative","LBCBR9LA.Skip.to.Item"
"0.2 to 15.1","Range of Values",247,247,NA
".","Missing",0,247,NA
