"AUDTYR64.Code.or.Value","AUDTYR64.Value.Description","AUDTYR64.Count","AUDTYR64.Cumulative","AUDTYR64.Skip.to.Item"
"0 to 1.75","Range of Values",2754,2754,NA
".","Missing",280,3034,NA
