"DBD041.Code.or.Value","DBD041.Value.Description","DBD041.Count","DBD041.Cumulative","DBD041.Skip.to.Item"
"1 to 730","Range of Values",1617,1617,""
"0","Never",209,1826,"DBD055"
"777777","Refused",0,1826,""
"999999","Don't know",18,1844,""
".","Missing",7912,9756,""
