"BIXS500K.Code.or.Value","BIXS500K.Value.Description","BIXS500K.Count","BIXS500K.Cumulative","BIXS500K.Skip.to.Item"
"71.14 to 847.03","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
