"CSXQUIPG.Code.or.Value","CSXQUIPG.Value.Description","CSXQUIPG.Count","CSXQUIPG.Cumulative","CSXQUIPG.Skip.to.Item"
"0 to 100","Range of Values",3133,3133,NA
".","Missing",575,3708,NA
