"BAXPFC11.Code.or.Value","BAXPFC11.Value.Description","BAXPFC11.Count","BAXPFC11.Cumulative","BAXPFC11.Skip.to.Item"
"1","Pass",2552,2552,"BAXPFC21"
"2","Dnp(did not pass)",12,2564,""
".","Missing",620,3184,""
